date,funding
2020-09-13,0.0001
2020-09-14,0.00030000000000000003
2020-09-15,0.00030000000000000003
2020-09-16,0.00030000000000000003
2020-09-17,0.00030000000000000003
2020-09-18,0.00030000000000000003
2020-09-19,0.0001864
2020-09-20,-0.00053218
2020-09-21,0.00030000000000000003
2020-09-22,0.00015721000000000002
2020-09-23,0.00030000000000000003
2020-09-24,0.00011083000000000001
2020-09-25,-0.00019395
2020-09-26,-0.00024892
2020-09-27,0.00030000000000000003
2020-09-28,0.00030000000000000003
2020-09-29,0.00030000000000000003
2020-09-30,0.00030000000000000003
2020-10-01,0.00030000000000000003
2020-10-02,0.00030000000000000003
2020-10-03,0.00030000000000000003
2020-10-04,0.00030000000000000003
2020-10-05,0.00030000000000000003
2020-10-06,0.00030000000000000003
2020-10-07,0.00030000000000000003
2020-10-08,0.00030000000000000003
2020-10-09,0.00030000000000000003
2020-10-10,0.00058019
2020-10-11,0.00090989
2020-10-12,0.00042458
2020-10-13,0.00037596
2020-10-14,0.00048415000000000003
2020-10-15,0.00030000000000000003
2020-10-16,0.00030000000000000003
2020-10-17,0.00030000000000000003
2020-10-18,0.00030000000000000003
2020-10-19,0.00030000000000000003
2020-10-20,0.00030000000000000003
2020-10-21,0.00030000000000000003
2020-10-22,0.00055786
2020-10-23,0.00064808
2020-10-24,0.0015489000000000002
2020-10-25,0.00106334
2020-10-26,0.00030000000000000003
2020-10-27,0.00030000000000000003
2020-10-28,0.00030000000000000003
2020-10-29,0.00030000000000000003
2020-10-30,0.00019727000000000001
2020-10-31,-0.0009315
2020-11-01,-0.0012978999999999998
2020-11-02,0.00030000000000000003
2020-11-03,0.00030000000000000003
2020-11-04,0.00030000000000000003
2020-11-05,0.00030000000000000003
2020-11-06,6.620000000000001e-05
2020-11-07,-0.00115273
2020-11-08,0.00030028
2020-11-09,0.00047346
2020-11-10,0.00056412
2020-11-11,0.00055643
2020-11-12,0.00030000000000000003
2020-11-13,0.00030000000000000003
2020-11-14,0.00030000000000000003
2020-11-15,0.00044228
2020-11-16,0.00030000000000000003
2020-11-17,0.0010395200000000002
2020-11-18,0.00164955
2020-11-19,-0.00078885
2020-11-20,0.00045095
2020-11-21,0.00121282
2020-11-22,-0.00028640999999999996
2020-11-23,-0.00062429
2020-11-24,0.00050371
2020-11-25,0.00120802
2020-11-26,-0.005419439999999999
2020-11-27,-0.00696982
2020-11-28,-0.00348758
2020-11-29,-0.0038100399999999998
2020-11-30,-0.00222382
2020-12-01,-0.0031659699999999997
2020-12-02,-0.00249702
2020-12-03,0.00030000000000000003
2020-12-04,-0.00125726
2020-12-05,-0.0005188899999999999
2020-12-06,0.00030000000000000003
2020-12-07,0.00030000000000000003
2020-12-08,0.00030000000000000003
2020-12-09,0.0001221
2020-12-10,-0.0007948199999999999
