date,funding
2020-02-10,0.00304635
2020-02-11,0.0057843600000000005
2020-02-12,0.0067218
2020-02-13,0.00457475
2020-02-14,0.00128816
2020-02-15,0.005585110000000001
2020-02-16,0.0
2020-02-17,0.0014089600000000001
2020-02-18,0.00024926
2020-02-19,0.00140107
2020-02-20,0.00139687
2020-02-21,0.00066626
2020-02-22,0.00167088
2020-02-23,0.0017732199999999998
2020-02-24,0.00102634
2020-02-25,0.00074721
2020-02-26,0.00033832
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.00028972
2020-03-01,0.0008884300000000001
2020-03-02,0.0
2020-03-03,-0.0002225
2020-03-04,-0.0006366
2020-03-05,0.00020227
2020-03-06,0.00098189
2020-03-07,0.0017541199999999999
2020-03-08,0.00200597
2020-03-09,0.00076211
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,-0.0004214
2020-03-13,-0.007254340000000001
2020-03-14,0.00196605
2020-03-15,0.00081228
2020-03-16,-0.00025194
2020-03-17,6.145e-05
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,3.196e-05
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,-0.00209042
2020-03-26,-0.0023789199999999996
2020-03-27,-0.00088447
2020-03-28,-0.00166027
2020-03-29,-0.00198578
2020-03-30,-0.0014716199999999999
2020-03-31,-0.00079252
2020-04-01,0.0
2020-04-02,-0.00092048
2020-04-03,-0.00099756
2020-04-04,0.0
2020-04-05,5.4120000000000004e-05
2020-04-06,0.00032474
2020-04-07,0.00014939
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,-0.00012615
2020-04-12,0.0
2020-04-13,-0.00106444
2020-04-14,-0.00317331
2020-04-15,-0.00216217
2020-04-16,-0.00339126
2020-04-17,-0.00545048
2020-04-18,-0.00131362
2020-04-19,-0.00268627
2020-04-20,-0.00243545
2020-04-21,-0.00357796
2020-04-22,-0.0014766900000000001
2020-04-23,-0.0005323
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,-9.795e-05
2020-04-27,0.0
2020-04-28,-0.00064392
2020-04-29,0.0
2020-04-30,-0.00272436
2020-05-01,-0.00197335
2020-05-02,-0.00156104
2020-05-03,-0.00121372
2020-05-04,-0.00119549
2020-05-05,0.0
2020-05-06,-0.00136979
2020-05-07,-0.00021386
2020-05-08,0.0
2020-05-09,0.0
2020-05-10,-0.0013958199999999999
2020-05-11,-0.00025328
2020-05-12,-0.00029358
2020-05-13,-0.0012460799999999999
2020-05-14,-0.0010507
2020-05-15,0.0
2020-05-16,0.0
2020-05-17,0.0
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,0.0
2020-05-21,0.0
2020-05-22,2.744e-05
2020-05-23,0.00015213
2020-05-24,0.00029677
2020-05-25,0.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,0.0
2020-05-29,0.0
2020-05-30,8.96e-06
2020-05-31,0.00039365
2020-06-01,0.0
2020-06-02,0.0017426300000000002
2020-06-03,0.0
2020-06-04,0.0
2020-06-05,0.0
2020-06-06,0.0
2020-06-07,3.662e-05
2020-06-08,0.0
2020-06-09,0.00028021
2020-06-10,0.0
2020-06-11,0.00032123
2020-06-12,0.0
2020-06-13,0.0
2020-06-14,0.0
2020-06-15,0.0
2020-06-16,0.0
2020-06-17,0.0
2020-06-18,0.0
2020-06-19,0.0
2020-06-20,0.0
2020-06-21,0.00058295
2020-06-22,0.0012156900000000002
2020-06-23,0.00096493
2020-06-24,0.00086503
2020-06-25,0.00065156
2020-06-26,0.0
2020-06-27,0.0
2020-06-28,0.0
2020-06-29,0.0
